date,metric,category,geography,unit,series_type,value
2012-07-01,Household spending,Discretionary,Western Australia,$ Millions,Seasonally Adjusted,3075.8
2012-07-01,Household spending,Food,Western Australia,$ Millions,Seasonally Adjusted,794.7
2012-07-01,Household spending,Furnishings and household equipment,Western Australia,$ Millions,Seasonally Adjusted,390.3
2012-07-01,Household spending,Goods,Western Australia,$ Millions,Seasonally Adjusted,2866.8
2012-07-01,Household spending,Health,Western Australia,$ Millions,Seasonally Adjusted,479.6
2012-07-01,Household spending,"Hotels, cafes and restaurants",Western Australia,$ Millions,Seasonally Adjusted,553.5
2012-07-01,Household spending,Miscellaneous goods and services,Western Australia,$ Millions,Seasonally Adjusted,435.0
2012-07-01,Household spending,Non Discretionary,Western Australia,$ Millions,Seasonally Adjusted,1755.3
2012-07-01,Household spending,Recreation and culture,Western Australia,$ Millions,Seasonally Adjusted,747.4
2012-07-01,Household spending,Services,Western Australia,$ Millions,Seasonally Adjusted,1964.4
2012-07-01,Household spending,Total (Household Spending Categories),Western Australia,$ Millions,Seasonally Adjusted,4831.1
2012-07-01,Household spending,Transport,Western Australia,$ Millions,Seasonally Adjusted,887.9
2012-08-01,Household spending,Alcoholic beverages and tobacco,Australia,$ Millions,Seasonally Adjusted,2578.0
2012-08-01,Household spending - Percentage change from previous period,Alcoholic beverages and tobacco,Australia,Percent,Seasonally Adjusted,0.4
2012-08-01,Household spending,Clothing and footwear,Australia,$ Millions,Seasonally Adjusted,2556.0
2012-08-01,Household spending - Percentage change from previous period,Clothing and footwear,Australia,Percent,Seasonally Adjusted,0.2
2012-08-01,Household spending,Discretionary,Australia,$ Millions,Seasonally Adjusted,28418.1
2012-08-01,Household spending - Percentage change from previous period,Discretionary,Australia,Percent,Seasonally Adjusted,1.3
2012-08-01,Household spending,Food,Australia,$ Millions,Seasonally Adjusted,6762.7
2012-08-01,Household spending - Percentage change from previous period,Food,Australia,Percent,Seasonally Adjusted,0.9
2012-08-01,Household spending,Furnishings and household equipment,Australia,$ Millions,Seasonally Adjusted,3235.8
2012-08-01,Household spending - Percentage change from previous period,Furnishings and household equipment,Australia,Percent,Seasonally Adjusted,0.4
2012-08-01,Household spending,Goods,Australia,$ Millions,Seasonally Adjusted,25142.2
2012-08-01,Household spending - Percentage change from previous period,Goods,Australia,Percent,Seasonally Adjusted,1.0
2012-08-01,Household spending,Health,Australia,$ Millions,Seasonally Adjusted,4210.1
2012-08-01,Household spending - Percentage change from previous period,Health,Australia,Percent,Seasonally Adjusted,1.2
2012-08-01,Household spending,"Hotels, cafes and restaurants",Australia,$ Millions,Seasonally Adjusted,5089.0
2012-08-01,Household spending - Percentage change from previous period,"Hotels, cafes and restaurants",Australia,Percent,Seasonally Adjusted,6.1
2012-08-01,Household spending,Miscellaneous goods and services,Australia,$ Millions,Seasonally Adjusted,4049.1
2012-08-01,Household spending - Percentage change from previous period,Miscellaneous goods and services,Australia,Percent,Seasonally Adjusted,-0.5
2012-08-01,Household spending,Non Discretionary,Australia,$ Millions,Seasonally Adjusted,15824.8
2012-08-01,Household spending - Percentage change from previous period,Non Discretionary,Australia,Percent,Seasonally Adjusted,1.0
2012-08-01,Household spending,Recreation and culture,Australia,$ Millions,Seasonally Adjusted,7553.2
2012-08-01,Household spending - Percentage change from previous period,Recreation and culture,Australia,Percent,Seasonally Adjusted,0.0
2012-08-01,Household spending,Services,Australia,$ Millions,Seasonally Adjusted,19100.7
2012-08-01,Household spending - Percentage change from previous period,Services,Australia,Percent,Seasonally Adjusted,1.6
2012-08-01,Household spending,Total (Household Spending Categories),Australia,$ Millions,Seasonally Adjusted,44242.9
2012-08-01,Household spending - Percentage change from previous period,Total (Household Spending Categories),Australia,Percent,Seasonally Adjusted,1.2
2012-08-01,Household spending,Transport,Australia,$ Millions,Seasonally Adjusted,8209.0
2012-08-01,Household spending - Percentage change from previous period,Transport,Australia,Percent,Seasonally Adjusted,1.6
